ID	Hlog10	TotalAbundance	Richness	ForestRichness	OpenRichness	Treespecies	Sitetype	Ageclass	GroundVeg	HerbLayer	ShrubLayer	NeedleLitter	Litter	FineWoodDebris	CoarseWoodDebris	LeafLitter	MeanLitterDepth	OrganicMaterial	X	Y	Plot
71	1	48	13	6	1	Ash	Pure	35_50years	0.73	0.03	0.00	0.01	0.36	0.15	0.06	0.36	0.00	0.11	283314	232273	13
72	0.88	46	12	6	0	Sitkaspruce	Pure	35_50years	0.25	0.00	0.00	0.83	0.00	0.08	0.06	0.00	0.25	0.77	162320	201123	14
73	0.91	58	15	8	0	Sitkaspruce	Pure	35_50years	0.34	0.00	0.00	0.83	0.00	0.06	0.05	0.00	0.15	0.95	162324	201030	14
74	0.99	62	14	7	0	Sitkaspruce	Pure	35_50years	0.02	0.00	0.00	0.73	0.00	0.32	0.15	0.00	0.40	0.95	NA	NA	14
75	0.88	76	10	7	0	Sitkaspruce	Pure	35_50years	0.43	0.00	0.00	0.83	0.00	0.03	0.03	0.00	1.00	0.94	NA	NA	14
76	0.99	104	14	6	0	Sitkaspruce	Pure	35_50years	0.49	0.00	0.00	0.69	0.00	0.20	0.02	0.00	0.20	0.96	162159	201105	14
77	1.04	55	14	5	1	Sitkaspruce	Mix	8_15years	0.56	0.20	0.88	0.25	0.02	0.00	0.01	0.02	0.03	0.17	153575	191577	15
78	1.15	104	21	8	3	Sitkaspruce	Mix	8_15years	0.25	0.69	0.88	0.10	0.02	0.00	0.01	0.02	0.03	0.18	NA	NA	15
79	1.06	67	17	6	1	Sitkaspruce	Mix	8_15years	0.42	0.20	0.88	0.18	0.33	0.00	0.01	0.33	0.03	0.14	NA	NA	15
80	0.82	70	12	6	0	Sitkaspruce	Mix	8_15years	0.22	0.20	0.88	0.53	0.36	0.00	0.01	0.36	0.05	0.16	153441	191578	15
81	0.94	90	16	4	1	Sitkaspruce	Mix	8_15years	0.18	0.57	0.88	0.42	0.10	0.00	0.01	0.10	0.05	0.37	153528	191601	15
82	1.38	76	29	5	6	Ash	Mix	8_15years	0.16	0.54	0.58	0.00	0.16	0.00	0.01	0.16	0.00	0.21	153665	191699	15
83	1.23	61	23	3	7	Ash	Mix	8_15years	0.63	0.64	0.51	0.00	0.16	0.00	0.01	0.16	0.00	0.23	153604	191652	15
84	0.97	97	13	8	0	Sitkaspruce	Pure	35_50years	0.18	0.00	0.00	0.88	0.00	0.08	0.06	0.00	0.10	0.98	114408	73445	16
85	1.04	105	19	9	0	Sitkaspruce	Pure	35_50years	0.24	0.00	0.00	0.83	0.00	0.06	0.06	0.00	0.10	0.93	114452	73323	16
86	1.01	82	15	7	0	Sitkaspruce	Pure	35_50years	0.00	0.00	0.00	0.88	0.00	0.27	0.2	0.00	0.10	0.93	114488	73235	16
87	0.84	59	14	5	0	Sitkaspruce	Pure	35_50years	0.31	0.10	0.00	0.73	0.00	0.08	0.22	0.00	0.25	0.91	114534	73223	16
88	0.91	72	14	6	1	Sitkaspruce	Pure	35_50years	0.06	0.00	0.00	0.88	0.00	0.25	0.4	0.00	0.40	0.95	114631	73233	16
89	0.96	25	11	7	1	Sitkaspruce	Mix	8_15years	0.00	0.00	0.88	0.83	0.00	0.02	0.01	0.00	0.30	0.12	229181	195975	17
90	0.92	50	11	3	0	Sitkaspruce	Mix	8_15years	0.27	0.01	0.88	0.68	0.00	0.01	0.01	0.00	0.25	0.14	229224	196030	17
91	0.8	43	11	6	0	Sitkaspruce	Mix	8_15years	0.03	0.00	0.88	0.88	0.00	0.01	0.02	0.00	0.20	0.08	229278	196069	17
92	0.95	76	16	9	0	Sitkaspruce	Mix	8_15years	0.38	0.01	0.88	0.68	0.00	0.01	0.01	0.00	0.20	0.09	229347	196140	17
93	1.04	34	14	6	1	Sitkaspruce	Mix	8_15years	0.24	0.00	0.88	0.58	0.00	0.01	0	0.00	0.20	0.23	229285	196231	17
94	0.99	47	17	5	2	Ash	Mix	8_15years	0.12	0.39	0.16	0.00	0.48	0.07	0.01	0.48	0.05	0.09	229268	195935	17
95	0.83	51	14	6	2	Ash	Mix	8_15years	0.39	0.39	0.23	0.00	0.02	0.02	0.05	0.02	0.05	0.06	229322	195945	17
96	0.95	90	17	7	1	Sitkaspruce	Pure	8_15years	0.54	0.27	0.88	0.34	0.39	0.03	0.03	0.39	0.20	0.10	155090	199606	18
97	0.96	78	17	9	1	Sitkaspruce	Pure	8_15years	0.21	0.33	0.88	0.78	0.01	0.00	0	0.01	0.05	0.11	155123	199531	18
98	1.16	116	23	6	1	Sitkaspruce	Pure	8_15years	0.88	0.11	0.88	0.36	0.03	0.00	0	0.03	0.00	0.21	155190	199538	18
99	1.15	75	18	6	0	Sitkaspruce	Pure	8_15years	0.51	0.30	0.88	0.44	0.00	0.01	0	0.00	0.03	0.66	155226	199489	18
100	1.13	146	19	6	2	Sitkaspruce	Pure	8_15years	0.54	0.41	0.88	0.22	0.03	0.00	0	0.03	0.03	0.69	155164	199454	18
101	1.13	122	22	5	2	Sitkaspruce	Pure	8_15years	0.06	0.09	0.88	0.78	0.00	0.00	0	0.00	0.10	0.19	178820	155656	19
102	1.09	42	15	4	1	Sitkaspruce	Pure	8_15years	0.03	0.01	0.88	0.78	0.38	0.00	0	0.38	0.05	0.31	178878	155615	19
103	1.2	107	24	7	4	Sitkaspruce	Pure	8_15years	0.54	0.36	0.78	0.37	0.03	0.00	0	0.03	0.08	0.16	178925	155590	19
104	1.02	110	17	4	1	Sitkaspruce	Pure	8_15years	0.02	0.00	0.88	0.83	0.00	0.01	0	0.00	0.08	0.09	178867	155680	19
105	1.21	105	25	6	4	Sitkaspruce	Pure	8_15years	0.31	0.35	0.83	0.39	0.03	0.01	0	0.03	0.08	0.32	178941	155676	19
106	0.97	304	22	8	1	Sitkaspruce	Pure	35_50years	0.63	0.39	0.16	0.34	0.07	0.20	0.06	0.07	0.30	0.23	296726	174222	20
107	1.21	241	30	7	3	Sitkaspruce	Pure	35_50years	0.56	0.49	0.00	0.37	0.03	0.20	0.2	0.03	0.10	0.13	296635	174185	20
108	0.98	289	23	8	0	Sitkaspruce	Pure	35_50years	0.73	0.23	0.00	0.27	0.63	0.12	0.07	0.63	0.05	0.24	296501	174162	20
109	0.95	282	21	7	1	Sitkaspruce	Pure	35_50years	0.78	0.13	0.00	0.25	0.12	0.15	0.05	0.12	0.08	0.52	296512	174092	20
110	0.99	320	25	8	1	Sitkaspruce	Pure	35_50years	0.52	0.54	0.00	0.10	0.34	0.22	0.18	0.34	0.10	0.76	296458	174036	20
111	0.93	141	22	1	6	Ash	Mix	5years	0.38	0.23	0.88	0.00	0.00	0.00	0	0.00	0.00	0.11	197796	92606	21
112	0.87	84	12	0	4	Ash	Mix	5years	0.38	0.58	0.57	0.00	0.00	0.00	0	0.00	0.00	0.15	197834	92567	21
113	0.98	105	18	1	5	Sitkaspruce	Mix	5years	0.00	0.54	0.54	0.00	0.00	0.00	0	0.00	0.00	0.10	197906	92563	21
114	1.04	164	19	2	5	Sitkaspruce	Mix	5years	0.00	0.18	0.88	0.00	0.00	0.00	0	0.00	0.00	0.10	197973	92574	21
115	1.06	213	23	0	7	Sitkaspruce	Mix	5years	0.00	0.39	0.59	0.00	0.00	0.00	0	0.00	0.00	0.12	197954	92644	21
116	1.1	280	30	2	9	Sitkaspruce	Mix	5years	0.27	0.39	0.37	0.00	0.00	0.00	0	0.00	0.00	0.12	197933	92710	21
117	1.04	142	22	1	3	Sitkaspruce	Mix	5years	0.01	0.42	0.45	0.00	0.00	0.00	0	0.00	0.00	0.14	197892	92749	21
118	1.02	51	15	2	5	Ash	Mix	5years	0.11	0.68	0.12	0.00	0.00	0.00	0	0.00	0.00	0.17	176178	222791	22
119	1.05	78	18	1	5	Ash	Mix	5years	0.07	0.64	0.15	0.00	0.00	0.00	0	0.00	0.00	0.11	176154	222754	22
120	1.14	58	18	1	3	Sitkaspruce	Mix	5years	0.01	0.73	0.34	0.00	0.00	0.00	0	0.00	0.00	0.38	176092	222810	22
121	1.02	40	15	0	3	Sitkaspruce	Mix	5years	0.05	0.58	0.32	0.00	0.00	0.00	0	0.00	0.00	0.85	176032	222822	22
122	1.14	58	21	0	6	Sitkaspruce	Mix	5years	0.03	0.68	0.39	0.00	0.00	0.00	0	0.00	0.00	0.50	175981	222836	22
123	1.2	40	18	3	4	Sitkaspruce	Mix	5years	0.04	0.69	0.27	0.00	0.00	0.00	0	0.00	0.00	0.80	175924	222840	22
124	1.12	55	19	1	3	Sitkaspruce	Mix	5years	0.02	0.78	0.11	0.00	0.00	0.00	0	0.00	0.00	0.44	175865	222851	22
125	0.92	79	12	5	0	Sitkaspruce	Pure	8_15years	0.19	0.00	0.88	0.83	0.01	0.07	0.03	0.01	0.05	0.08	226028	193863	23
126	0.86	65	12	7	0	Sitkaspruce	Pure	8_15years	0.16	0.00	0.88	0.78	0.00	0.00	0	0.00	0.15	0.12	225963	193847	23
127	0.89	79	13	5	0	Sitkaspruce	Pure	8_15years	0.10	0.00	0.88	0.73	0.00	0.05	0.05	0.00	0.15	0.08	225957	193793	23
128	0.87	82	11	5	1	Sitkaspruce	Pure	8_15years	0.29	0.00	0.88	0.63	0.00	0.08	0.01	0.00	0.13	0.24	NA	NA	23
129	0.88	78	12	6	0	Sitkaspruce	Pure	8_15years	0.03	0.00	0.88	0.88	0.00	0.03	0.05	0.00	0.10	0.16	226087	193695	23
130	1.05	87	15	7	0	Sitkaspruce	Pure	25_30years	0.19	0.00	0.03	0.32	0.33	0.05	0.05	0.33	0.75	0.93	229543	195797	24
131	0.85	88	14	8	0	Sitkaspruce	Pure	25_30years	0.24	0.00	0.03	0.63	0.03	0.10	0.07	0.03	0.30	0.58	229625	195701	24
132	0.77	102	10	6	0	Sitkaspruce	Pure	25_30years	0.15	0.63	0.03	0.35	0.01	0.41	0.4	0.01	0.10	0.17	229659	195632	24
133	0.86	132	14	10	0	Sitkaspruce	Pure	25_30years	0.06	0.00	0.03	0.68	0.06	0.15	0.12	0.06	0.95	0.23	229676	195575	24
134	1	155	18	10	0	Sitkaspruce	Pure	25_30years	0.22	0.03	0.03	0.58	0.00	0.08	0.12	0.00	0.35	0.91	229533	195646	24
135	0.93	76	12	6	0	Sitkaspruce	Pure	35_50years	0.83	0.03	0.00	0.15	0.00	0.06	0.12	0.00	0.05	0.92	227820	199556	25
136	0.84	112	12	6	1	Sitkaspruce	Pure	35_50years	0.63	0.16	0.00	0.15	0.38	0.10	0.25	0.38	0.05	0.80	227888	199655	25
137	0.99	97	16	9	0	Sitkaspruce	Pure	35_50years	0.88	0.03	0.00	0.06	0.00	0.01	0.09	0.00	0.05	0.72	227964	199703	25
138	0.96	90	13	7	0	Sitkaspruce	Pure	35_50years	0.73	0.00	0.00	0.03	0.00	0.02	0.35	0.00	0.05	0.50	228030	199739	25
139	0.93	147	16	8	1	Sitkaspruce	Pure	35_50years	0.73	0.03	0.00	0.09	0.00	0.07	0.12	0.00	0.05	0.37	228126	199740	25
140	1.2	65	20	2	5	Ash	Pure	5years	0.05	0.58	0.20	0.00	0.00	0.00	0	0.00	0.00	0.42	189112	155411	26
141	1.21	89	21	3	3	Ash	Pure	5years	0.03	0.30	0.64	0.00	0.00	0.00	0	0.00	0.00	0.20	189095	155362	26
142	1.05	95	17	2	3	Ash	Pure	5years	0.03	0.68	0.25	0.00	0.00	0.00	0	0.00	0.00	0.25	189060	155363	26
143	0.91	82	21	3	6	Ash	Pure	5years	0.01	0.54	0.40	0.00	0.00	0.00	0	0.00	0.00	0.45	189044	155298	26
144	0.93	189	25	2	7	Ash	Pure	5years	0.19	0.58	0.12	0.00	0.00	0.00	0	0.00	0.00	0.17	188982	155306	26
145	0.78	45	9	4	0	Ash	Mix	35_50years	0.58	0.37	0.63	0.01	0.43	0.11	0.23	0.43	0.05	0.16	NA	NA	27
146	0.82	96	12	7	0	Ash	Mix	35_50years	0.39	0.32	0.63	0.01	0.41	0.15	0.11	0.41	0.03	0.14	163723	334947	27
147	0.86	131	14	7	1	Sitkaspruce	Mix	35_50years	0.48	0.73	0.00	0.01	0.06	0.03	0.03	0.06	0.03	0.16	163754	334911	27
148	1	74	13	5	0	Sitkaspruce	Mix	35_50years	0.39	0.78	0.00	0.03	0.19	0.10	0.1	0.19	0.00	0.12	163811	334866	27
149	0.87	135	13	7	0	Sitkaspruce	Mix	35_50years	0.76	0.39	0.00	0.01	0.03	0.10	0.29	0.03	0.03	0.20	163856	334860	27
150	1.02	119	18	8	0	Sitkaspruce	Mix	35_50years	0.71	0.45	0.00	0.02	0.09	0.16	0.27	0.09	0.03	0.17	163915	334835	27
151	0.84	168	16	7	0	Sitkaspruce	Mix	35_50years	0.78	0.40	0.00	0.07	0.14	0.03	0.2	0.14	0.00	0.23	163984	334831	27
152	1.05	79	18	1	5	Ash	Pure	5years	0.24	0.36	0.29	0.00	0.00	0.00	0	0.00	0.00	0.23	184938	154427	28
153	1.03	39	13	1	2	Ash	Pure	5years	0.05	0.39	0.31	0.00	0.00	0.00	0	0.00	0.00	0.09	184916	154383	28
154	1.06	75	16	0	4	Ash	Pure	5years	0.12	0.23	0.49	0.00	0.00	0.00	0	0.00	0.00	0.33	184863	154389	28
155	1.1	68	19	2	4	Ash	Pure	5years	0.04	0.59	0.30	0.00	0.00	0.00	0	0.00	0.00	0.25	184823	154416	28
156	0.83	146	14	1	5	Ash	Pure	5years	0.33	0.25	0.26	0.00	0.00	0.00	0	0.00	0.00	0.20	184777	154445	28
157	0.55	60	7	6	0	Ash	Pure	35_50years	0.25	0.49	0.16	0.00	0.49	0.18	0.03	0.49	0.00	0.18	208174	81858	29
158	0.5	93	5	3	1	Ash	Pure	35_50years	0.73	0.43	0.00	0.00	0.39	0.10	0.01	0.39	0.00	0.15	208208	81795	29
159	0.37	113	5	3	1	Ash	Pure	35_50years	0.64	0.20	0.38	0.00	0.46	0.06	0.09	0.46	0.00	0.12	208245	81725	29
160	0.37	58	4	3	1	Ash	Pure	35_50years	0.35	0.49	0.16	0.00	0.13	0.05	0.12	0.13	0.00	0.24	208279	81678	29
161	0.44	58	8	4	3	Ash	Pure	35_50years	0.32	0.36	0.00	0.00	0.51	0.02	0.01	0.51	0.00	0.13	NA	NA	29
162	0.92	142	16	8	0	Sitkaspruce	Pure	25_30years	0.00	0.00	0.03	0.88	0.00	0.08	0.13	0.00	0.20	0.95	NA	NA	30
163	0.97	109	16	6	0	Sitkaspruce	Pure	25_30years	0.10	0.00	0.03	0.88	0.00	0.05	0.07	0.00	0.15	0.58	114322	80241	30
164	1.07	89	18	7	0	Sitkaspruce	Pure	25_30years	0.60	0.16	0.03	0.45	0.00	0.05	0.05	0.00	0.20	0.68	114394	80125	30
165	0.93	110	16	7	1	Sitkaspruce	Pure	25_30years	0.02	0.00	0.03	0.88	0.00	0.03	0.15	0.00	0.35	0.94	NA	NA	30
166	1	102	17	8	0	Sitkaspruce	Pure	25_30years	0.25	0.00	0.03	0.83	0.00	0.20	0.15	0.00	0.90	0.72	NA	NA	30
167	1.03	111	17	6	3	Ash	Mix	35_50years	0.58	0.58	0.60	0.00	0.36	0.06	0.01	0.36	0.00	0.39	306095	166187	31
168	1.2	105	25	7	4	Ash	Mix	35_50years	0.35	0.88	0.23	0.00	0.11	0.03	0.01	0.11	0.00	0.22	306089	166226	31
169	1.09	120	19	7	3	Sitkaspruce	Mix	35_50years	0.15	0.61	0.00	0.63	0.00	0.21	0.18	0.00	0.10	0.29	NA	NA	31
170	1.02	113	18	7	2	Sitkaspruce	Mix	35_50years	0.24	0.41	0.00	0.47	0.00	0.05	0.2	0.00	0.25	0.47	306126	166369	31
171	1.06	102	21	7	3	Sitkaspruce	Mix	35_50years	0.39	0.00	0.00	0.58	0.03	0.20	0.12	0.03	0.10	0.55	306205	166435	31
172	0.94	123	15	8	1	Sitkaspruce	Mix	35_50years	0.53	0.12	0.00	0.48	0.01	0.20	0.15	0.01	0.10	0.30	306254	166467	31
173	0.9	158	19	9	0	Sitkaspruce	Mix	35_50years	0.68	0.00	0.00	0.25	0.00	0.11	0.07	0.00	0.20	0.67	306298	166525	31
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
